STUDY_ID,valid_name,LATITUDE,LONGITUDE,ABUNDANCE,YEAR
604,Perizoma alchemillata,60.322,24.519,23,1996
604,Perizoma alchemillata,60.322,24.519,9,1997
604,Perizoma alchemillata,60.322,24.519,15,1999
604,Perizoma alchemillata,60.322,24.519,41,2000
604,Perizoma alchemillata,60.322,24.519,10,2001
604,Perizoma alchemillata,60.322,24.519,17,2002
604,Perizoma alchemillata,60.322,24.519,10,2003
604,Perizoma alchemillata,60.322,24.519,116,2004
604,Perizoma alchemillata,60.322,24.519,78,2005
604,Perizoma alchemillata,60.322,24.519,141,2006
604,Perizoma alchemillata,60.322,24.519,196,2007
604,Perizoma alchemillata,60.322,24.519,162,2008
604,Perizoma alchemillata,60.322,24.519,28,2009
604,Perizoma alchemillata,60.322,24.519,183,2010
604,Perizoma alchemillata,60.322,24.519,18,2011
604,Perizoma alchemillata,60.322,24.519,40,2012
604,Perizoma alchemillata,60.322,24.519,12,2013
604,Perizoma alchemillata,60.322,24.519,52,2014
604,Perizoma alchemillata,60.322,24.519,28,2015
604,Perizoma alchemillata,60.322,24.519,27,2016
597,Aporophyla lutulenta,51.80342,-0.372683,1,2003
597,Aporophyla lutulenta,51.80342,-0.372683,1,2003
597,Aporophyla lutulenta,51.80342,-0.372683,1,2003
597,Aporophyla lutulenta,51.80342,-0.372683,1,2003
597,Aporophyla lutulenta,51.80342,-0.372683,1,2003
597,Aporophyla lutulenta,51.80342,-0.372683,3,2004
597,Aporophyla lutulenta,51.80342,-0.372683,1,2004
597,Aporophyla lutulenta,51.80342,-0.372683,3,2004
597,Aporophyla lutulenta,51.80342,-0.372683,1,2004
597,Aporophyla lutulenta,51.80342,-0.372683,2,2005
597,Aporophyla lutulenta,51.80342,-0.372683,4,2005
597,Aporophyla lutulenta,51.80342,-0.372683,2,2005
597,Aporophyla lutulenta,51.80342,-0.372683,1,2005
597,Aporophyla lutulenta,51.80342,-0.372683,1,2005
597,Aporophyla lutulenta,51.80342,-0.372683,1,2005
597,Aporophyla lutulenta,51.80342,-0.372683,2,2005
597,Aporophyla lutulenta,51.80342,-0.372683,3,2005
597,Aporophyla lutulenta,51.80342,-0.372683,2,2005
597,Aporophyla lutulenta,51.80342,-0.372683,3,2005
597,Aporophyla lutulenta,51.80342,-0.372683,1,2005
597,Aporophyla lutulenta,51.80342,-0.372683,2,2005
597,Aporophyla lutulenta,51.80342,-0.372683,1,2005
597,Aporophyla lutulenta,51.80342,-0.372683,2,2005
597,Aporophyla lutulenta,51.80342,-0.372683,1,2005
597,Aporophyla lutulenta,51.80342,-0.372683,1,2005
597,Aporophyla lutulenta,51.80342,-0.372683,3,2005
597,Aporophyla lutulenta,51.80342,-0.372683,1,2005
597,Aporophyla lutulenta,51.80342,-0.372683,2,2006
597,Aporophyla lutulenta,51.80342,-0.372683,1,2006
597,Aporophyla lutulenta,51.80342,-0.372683,1,2006
597,Aporophyla lutulenta,51.80342,-0.372683,1,2006
597,Aporophyla lutulenta,51.80342,-0.372683,3,2006
597,Aporophyla lutulenta,51.80342,-0.372683,1,2006
597,Aporophyla lutulenta,51.80342,-0.372683,1,2006
597,Aporophyla lutulenta,51.80342,-0.372683,1,2006
597,Aporophyla lutulenta,51.80342,-0.372683,2,2006
597,Aporophyla lutulenta,51.80342,-0.372683,1,2006
597,Aporophyla lutulenta,51.80342,-0.372683,2,2006
597,Aporophyla lutulenta,51.80342,-0.372683,1,2007
597,Aporophyla lutulenta,51.80342,-0.372683,1,2007
597,Aporophyla lutulenta,51.80342,-0.372683,1,2008
597,Aporophyla lutulenta,51.80342,-0.372683,1,2008
597,Aporophyla lutulenta,51.80342,-0.372683,4,2008
597,Aporophyla lutulenta,51.80342,-0.372683,1,2009
597,Aporophyla lutulenta,51.80342,-0.372683,5,2009
597,Aporophyla lutulenta,51.80342,-0.372683,4,2009
597,Aporophyla lutulenta,51.80342,-0.372683,1,2009
597,Aporophyla lutulenta,51.80342,-0.372683,6,2009
597,Aporophyla lutulenta,51.80342,-0.372683,1,2009
597,Aporophyla lutulenta,51.80342,-0.372683,3,2009
597,Aporophyla lutulenta,51.80342,-0.372683,1,2009
597,Aporophyla lutulenta,51.80342,-0.372683,1,2009
597,Aporophyla lutulenta,51.80342,-0.372683,4,2009
597,Aporophyla lutulenta,51.80342,-0.372683,1,2010
597,Aporophyla lutulenta,51.80342,-0.372683,1,2011
597,Aporophyla lutulenta,51.80342,-0.372683,1,2013
597,Aporophyla lutulenta,51.80342,-0.372683,2,2014
597,Aporophyla lutulenta,51.80342,-0.372683,1,2015
597,Aporophyla lutulenta,51.80342,-0.372683,1,2015
597,Aporophyla lutulenta,51.80342,-0.372683,1,2015
604,Hypena crassalis,62.192,25.861,2,1999
604,Hypena crassalis,62.192,25.861,7,2000
604,Hypena crassalis,62.192,25.861,2,2001
604,Hypena crassalis,62.192,25.861,3,2002
604,Hypena crassalis,62.192,25.861,3,2003
604,Hypena crassalis,62.192,25.861,1,2005
604,Hypena crassalis,62.192,25.861,4,2006
604,Hypena crassalis,62.192,25.861,1,2007
604,Hypena crassalis,62.192,25.861,2,2008
604,Hypena crassalis,62.192,25.861,2,2009
604,Hypena crassalis,62.192,25.861,3,2010
604,Hypena crassalis,62.192,25.861,1,2011
604,Hypena crassalis,62.192,25.861,1,2012
604,Hypena crassalis,62.192,25.861,2,2013
604,Hypena crassalis,62.192,25.861,2,2014
604,Hypena crassalis,62.192,25.861,2,2015
604,Hypena crassalis,62.192,25.861,1,2016
